FINALS RESULTS
Position: 17

Games:        11910

2p Games:     3622   (an extra 247 games against DQ'd players ignored)
Wins:         2490
Losses:       1132

Rushes:       1455
Wins:         1279   (87.9%)
Losses:       176

Non-Rushes:   2167
Wins:         1211   (55.9%)
Losses:       956

--------------------------------------------------
Rush Results Only (2p games, < 10 ships produced):

9770034  O    mellendo
9770032  O    spelljack
9770009  O    ewirkerman
9769585  O    Rachol
9769519  O    dhallstr
9769511  O    dhallstr
9769439  O    RyanDraves
9769414  O    RyanDraves
9769172  O    kindanoob
9769016  O    zxqfl
9768562    X  ipost
9768264  O    spelljack
9768164  O    alexander-mol
9768089  O    alexander-mol
9768001    X  RyanDraves
9767805  O    kindanoob
9767747    X  zxqfl
9767157  O    succcubbus
9767047  O    ipost
9766961  O    dhallstr
9766894  O    kindanoob
9766535    X  klyd3r
9766324    X  ipost
9766229  O    RyanDraves
9766123  O    klyd3r
9765789  O    alexander-mol
9765676  O    klyd3r
9765461  O    ipost
9765009  O    AzureFractal
9764487  O    alexander-mol
9764443  O    alexander-mol
9762818  O    RyanDraves
9762641  O    Rachol
9762436  O    AzureFractal
9762398  O    klyd3r
9761900  O    succcubbus
9761751    X  succcubbus
9761442    X  RyanDraves
9760933  O    huizew
9760577  O    klyd3r
9760299  O    ipost
9760244    X  mellendo
9760125  O    ipost
9759692  O    alexander-mol
9759003    X  ipost
9758891  O    alexander-mol
9758765  O    alexander-mol
9758609  O    succcubbus
9757617  O    kindanoob
9757608  O    alexander-mol
9757600  O    alexander-mol
9757226  O    dhallstr
9757220  O    ipost
9756659  O    ipost
9756332  O    kindanoob
9755768  O    succcubbus
9755229  O    reCurs3
9755211  O    RyanDraves
9755115  O    kindanoob
9754650  O    kindanoob
9754633  O    ipost
9754632  O    ipost
9754374  O    klyd3r
9754351  O    RyanDraves
9754330  O    klyd3r
9754251  O    ipost
9754220  O    ericzhang98
9753982  O    dhallstr
9753780  O    RyanDraves
9753401  O    huizew
9752686  O    FakePsyho
9752627  O    klyd3r
9752559  O    dhallstr
9752534  O    kindanoob
9752180  O    kindanoob
9751606  O    dhallstr
9751523  O    ipost
9751205    X  RyanDraves
9751170  O    ebretl
9750783  O    coleholcomb
9750269    X  awesomelemonade
9749673  O    mpbuckley
9748785  O    myt00seven
9748604  O    alexander-mol
9748537    X  RyanDraves
9748035  O    kindanoob
9747930  O    klyd3r
9747708  O    klyd3r
9747661  O    klyd3r
9747289  O    kindanoob
9747029  O    klyd3r
9746408  O    klyd3r
9745899  O    AzureFractal
9745736  O    spelljack
9745524  O    klyd3r
9745013    X  ebretl
9744594  O    ipost
9744176  O    kindanoob
9744167  O    ericzhang98
9743978    X  succcubbus
9743902  O    klyd3r
9743722  O    ipost
9743243  O    reCurs3
9743191  O    RyanDraves
9743087  O    alexander-mol
9742343  O    ericzhang98
9741397  O    ipost
9741307  O    ipost
9740424  O    ipost
9740253  O    awesomelemonade
9739861  O    alexander-mol
9739539  O    RyanDraves
9738947  O    ipost
9738408  O    succcubbus
9737806    X  RyanDraves
9737540  O    klyd3r
9737223  O    kindanoob
9736750  O    alexander-mol
9736020  O    kindanoob
9735525  O    klyd3r
9735184  O    mlomb
9735101  O    ipost
9733691  O    ipost
9733354  O    klyd3r
9732692  O    ipost
9732577  O    RyanDraves
9732479  O    ipost
9732449  O    ipost
9732125  O    AzureFractal
9731787  O    alexander-mol
9731770  O    Gadziferoth
9731424    X  succcubbus
9731241  O    FiodorG
9731160  O    ipost
9730494  O    RyanDraves
9730459  O    kindanoob
9730393  O    ipost
9730073  O    succcubbus
9730066  O    ipost
9729622  O    kindanoob
9729610  O    alexander-mol
9729533  O    alexander-mol
9729489  O    klyd3r
9729262  O    kindanoob
9729071  O    alexander-mol
9728154  O    timfoden
9728073  O    kindanoob
9728059  O    alexander-mol
9727242  O    RyanDraves
9726857  O    spelljack
9726322  O    succcubbus
9726318  O    klyd3r
9726211  O    ipost
9726012  O    succcubbus
9725573  O    succcubbus
9725466  O    klyd3r
9725217  O    kindanoob
9724294    X  Rachol
9723999  O    ewirkerman
9723819  O    alexander-mol
9722917  O    dhallstr
9722699  O    kindanoob
9722660  O    kindanoob
9722310  O    kindanoob
9722118  O    ericzhang98
9721969  O    kindanoob
9721793  O    klyd3r
9721661  O    ipost
9721277  O    reCurs3
9720467  O    AzureFractal
9720357  O    alexander-mol
9719822  O    RyanDraves
9719714  O    succcubbus
9719637    X  ipost
9719636    X  ipost
9719624  O    alexander-mol
9718605  O    RyanDraves
9718403  O    ipost
9718343  O    ipost
9718297  O    RyanDraves
9716915  O    alexander-mol
9716698  O    RyanDraves
9716386  O    klyd3r
9715677  O    dhallstr
9715545    X  jcjones94
9715068    X  ipost
9714291  O    alexander-mol
9714205  O    alexander-mol
9713740  O    klyd3r
9713730  O    klyd3r
9713727  O    klyd3r
9713262  O    klyd3r
9713045  O    klyd3r
9712315  O    succcubbus
9711868  O    kindanoob
9711100  O    klyd3r
9710455  O    dhallstr
9710388  O    klyd3r
9710008  O    RyanDraves
9709634  O    klyd3r
9709205  O    ipost
9708611  O    klyd3r
9708504  O    klyd3r
9707943  O    dhallstr
9707859    X  Rachol
9707792  O    kindanoob
9707495  O    dhallstr
9706318  O    RyanDraves
